Content		Number of requests
x9QNKB34cJo&origin		223
7sei-eEjy4g&origin		215
tyKtQ0216bo&origin		162
4rb8aOzy9t4&origin		159
edhpwSMqc2I&origin		155
e66Og0lOCcE&origin		141
_OBlgSz8sSM&origin		140
IBbKQlQezPc&origin		139
Icv6DgZ-9O4&origin		138
MR5xv3pt7KI&origin		136
CKrTlXN9-iE&origin		128
Y9_Dk_F98cU&origin		128
tFxk7glmMbo&origin		123
eBGIQ7ZuuiU&origin		120
IZtPejST9IQ&origin		117
HBzTWcTwJJM&origin		114
FKb3qRljGBc&origin		112
FQt-h753jHI&origin		109
w0ffwDYo00Q&origin		89
OqumjziPTzk&origin		85
jJOzdLwvTHA&origin		84
CzxR8OH-fDQ&origin		84
_Q4c5ijfadE&origin		82
HrrKORU5ylA&origin		82
UP19xs9K77Y&signature		82
QedgzsjouXU&origin		81
DDg7kWgs5e0&origin		79
C19d47jXyqg&origin		78
z7AWw7t5zj0&origin		75
0M9uC1B_438&origin		73
89oS4SN4mNg&origin		72
LcM0OT6mnqA&origin		72
eRP7BkkKK6s&origin		71
QlSxR3ebOzc&start		71
PTP90IL9ylg&origin		68
j5n0HeBUg5U&origin		68
q-Lovt_kmXM&origin		66
mT8GBgEtAMI&origin		65
sIQrBouWRiE&origin		64
9xJ-cJXfpBc&origin		64
wnVJZkDuVBM&origin		63
a5xU4jtMDvY&origin		63
Df91duVaUrc&origin		62
dkYZ6rbPU2M&origin		61
ePyRrb2-fzs&origin		61
OLCMM3HhCmk&start		61
knQuxZj9rTA&origin		60
m3ceCMpPJgc&origin		59
rqzliObVDvc&origin		59
jwMj3PJDxuo&origin		59
wjv4Fp7GiGk&origin		59
9KPUU-t28lg&origin		57
-YUxbDEPFiM&origin		57
AtyJbIOZjS8&origin		57
-N3OrZzPud8&origin		56
p8Z-DIAthbM&origin		56
xsRWpK4pf90&origin		53
konX2e5yJE8&origin		53
pKz-RXSeIYA&origin		53
JmOzrJfL4Lo&origin		52
wgrrQwLdME8&origin		51
e-yldqNkGfo&origin		51
K7WJmk-2FZ4&signature		50
m75g_A731q0&origin		49
yOC9QcHnsBo&origin		49
9MBlfjrZKfk&origin		49
2yaKYL9CaoA&origin		49
pY8jaGs7xJ0&origin		49
rVettSNOSb8&origin		49
pVYp2sgA9M0&origin		48
KCqPHMFTRTo&origin		48
AC0sR5_NTFo&origin		47
j3_S8-UTKI8&origin		47
5ECgRjKWzLg&origin		46
znvE4qWH_3c&signature		45
sF84pIhP5UM&origin		45
h8p8WyqK1GI&origin		45
Mh5LpD3vyiw&origin		44
SKDXBvPIepI&signature		44
WpR-1qJp_3A&signature		44
To5gxiV7qWY&origin		44
qcw9DfwvkYc&origin		44
iWg3IMN_rhU&origin		44
bFytHZHFXhA&origin		43
oHg5SJYRHA0&origin		43
4JMOh-cul6M&origin		43
fZv-G7IISgs&origin		43
xtAja20kTCA&origin		43
BjGHoOAO8K0&origin		42
dMH0bHeiRNg&origin		42
RYxNMFbgLEM&origin		42
cXXm696UbKY&origin		41
Tx1XIm6q4r4&origin		41
R7DRtl6CTqc&origin		41
u_hMnT44Etk&origin		40
EBM854BTGL0&origin		40
FDkocaJ7-c4&origin		40
RcVXn4Gz8Rk&origin		40
9SDHxaYhqAo&origin		40
zWrNCCx2p5U&origin		40
yOC9QcHnsBo&start		40
5hayE_ZP0rI&origin		39
Pog6oE8FRnw&origin		39
EZmR-Rq8Izk&origin		39
D8ebg_JMMM8&origin		39
fqXYwNDrU8k&origin		39
K2cYWfq--Nw&origin		38
WGOohBytKTU&origin		38
3pKZ5blYSyE&origin		38
kAjqDzwAf2c&origin		38
PTU2He2BIc0&origin		38
-fVDGu82FeQ&origin		38
f2_CFuuwbbc&origin		38
4DC4Rb9quKk&origin		38
5p0QtJMKt1s&origin		38
Rp198k984Yw&origin		37
gkWRx_PyWzc&origin		37
Bqy1c_q5_s8&origin		36
W_5x-1a-mDY&signature		36
QFcJp2wtnFA&start		36
G5MMs8l-F7k&origin		36
